quality,bits,intra_parts,skip_parts,inter_16x16_parts,inter_4x4_parts,inter_other_parts,non_zero_pixels,frame_width,frame_height,movement_level,mean,sub_mean_1,sub_mean_2,sub_mean_3,sub_mean_4,var_sub_blocks,sobel_h,sobel_v,variance,block_movement_h,block_movement_v,var_movement_h,var_movement_v,cost_1,cost_2,relevant
22,740,0,0,1,9,9,136,416,240,52731,1.7382810000000002,0.0,4.875,1.2109379999999998,0.867188,3.4743800000000005,4.986328,5.636719,18.661972,0.546875,0.609375,0.669678,1.050537,4520.0,11561.0,1.0
22,603,0,0,1,6,9,97,416,240,52731,1.370117,0.0,0.671875,0.585938,4.222656,2.77917,3.782227,3.805664,11.660865,0.84375,1.203125,1.397461,1.8649900000000001,2996.0,8466.0,1.0
22,1454,0,1,0,9,10,315,416,240,52731,3.9160160000000004,2.292969,2.25,7.6171880000000005,3.5039059999999997,4.819599,9.849609,10.871094,43.567165,0.796875,0.546875,1.7243650000000001,0.9196780000000001,14662.0,16547.0,1.0
22,1963,0,0,1,9,10,378,416,240,48826,5.513672,5.871094,4.457031,5.394531,6.332031,0.482037,15.155273000000001,12.405273,64.78302,3.578125,3.296875,13.837646,11.646239999999999,5028.0,4343.0,1.0
22,1690,0,1,0,3,9,340,416,240,48826,4.800781,5.101562,3.7070309999999997,5.117188,5.277344,0.403496,13.053711,11.100586,70.63414,2.945312,3.6171879999999996,13.098572,18.923767,12059.0,12446.0,1.0
22,1840,0,0,2,9,6,417,416,240,48826,5.201172,4.980469,2.796875,6.933594,6.09375,2.406834,14.304688,12.078125,61.963436,2.1875,3.796875,4.058594,11.193114999999999,5401.0,5368.0,1.0
22,2369,16,0,0,9,18,372,416,240,48826,9.84375,11.039062,5.183594,17.007812,6.144531,22.038452,24.213867,31.65918,338.34668,0.96875,3.7109379999999996,10.842773,152.43988000000002,20631.0,20725.0,1.0
22,841,0,1,0,9,10,135,416,240,48826,2.34375,6.179688,2.117188,0.171875,0.90625,5.387299,7.169922,8.544922,47.938477,0.24218800000000001,1.796875,0.511658,10.099364999999999,18928.0,19191.0,1.0
22,794,0,0,1,15,7,140,416,240,48826,2.080078,0.3125,2.09375,1.15625,4.757812,2.78706,5.553711,6.942383,19.423275,0.351562,2.570312,0.290466,15.573181,15269.0,15247.0,1.0
22,635,0,1,0,18,5,108,416,240,48826,1.598633,0.300781,1.6835939999999998,1.550781,2.859375,0.8208489999999999,3.154297,5.105469,32.580116,0.71875,2.117188,2.2646479999999998,19.80658,6116.0,9270.0,1.0
22,1637,0,0,1,9,16,329,416,240,48826,4.509766,5.730469,5.375,1.898438,5.035156,2.333454,12.116211,11.311523,33.552639,2.46875,1.679688,12.295898,5.873962000000001,17732.0,18808.0,1.0
22,740,0,1,0,9,8,142,416,240,48826,1.7216799999999999,0.0,2.765625,0.5585939999999999,3.5625,2.198848,5.579102,5.196289,14.069999,1.976562,1.898438,6.694763000000001,5.794373,10804.0,11925.0,1.0
22,503,0,1,1,6,8,83,416,240,48826,1.0283200000000001,1.425781,2.6875,0.0,0.0,1.256434,3.637695,3.50293,10.750175,1.2265620000000002,1.609375,2.784607,4.706787,15392.0,15358.0,0.0
22,27,0,2,2,0,0,0,416,240,48826,0.0,0.0,0.0,0.0,0.0,0.0,0.035156,0.011719,0.0,0.625,1.125,1.234375,3.859375,2547.0,2571.0,1.0
22,473,0,1,1,9,6,92,416,240,48826,1.134766,2.613281,0.0,1.9257810000000002,0.0,1.346775,3.645508,2.916992,6.540432,0.125,1.5625,0.234375,4.496094,9443.0,9634.0,1.0
22,1284,0,0,1,6,11,277,416,240,48826,3.665039,4.578125,4.621094,3.027344,2.433594,0.9177200000000001,10.122069999999999,10.643555000000001,21.716904,0.53125,2.421875,0.405273,6.056396,12635.0,12092.0,1.0
22,1331,0,0,0,6,19,247,416,240,48826,3.420898,1.671875,5.019531,3.8203120000000004,3.171875,1.459064,9.233398,9.727539,39.482025,1.421875,2.84375,2.181396,8.319336,18500.0,16032.0,1.0
22,987,0,0,1,0,14,171,416,240,48826,2.626953,4.507812,3.15625,2.433594,0.410156,2.192341,6.706055,7.981445,51.362789,4.265625,2.03125,22.851318,5.092773,13612.0,14681.0,1.0
22,1221,0,0,2,6,6,238,416,240,48826,3.261719,1.921875,1.1015620000000002,4.335938,5.6875,3.3749540000000002,9.303711,9.631836,27.343613,3.140625,2.015625,6.667725,2.890381,5489.0,6086.0,1.0
22,647,0,0,1,6,13,105,416,240,48826,1.306641,1.1875,1.4921879999999998,0.515625,2.03125,0.299847,4.569336,5.161133,12.103237,2.109375,3.640625,8.894287,132.99585,4473.0,4735.0,1.0
22,604,0,0,1,3,11,110,416,240,48826,1.541016,0.5625,0.0,2.128906,3.4726559999999997,1.852268,4.321289,5.692383,14.285426999999999,1.125,1.71875,1.65625,3.483398,7357.0,8436.0,1.0
22,1624,0,0,0,6,15,350,416,240,48826,4.466797,3.246094,4.980469,4.292969,5.347656,0.640026,11.475586,12.311523,26.407101,0.265625,1.898438,0.27319299999999996,3.1537479999999998,8378.0,9224.0,1.0
22,732,0,0,2,3,10,120,416,240,48826,1.662109,0.617188,1.789062,2.9375,1.3046879999999998,0.715588,5.171875,5.880859,10.155361,0.453125,1.6875,0.341553,3.9335940000000003,13076.0,13567.0,1.0
22,480,0,1,3,0,0,90,416,240,48826,1.4345700000000001,1.9257810000000002,0.0,2.710938,1.1015620000000002,1.009822,3.7128910000000004,3.4765620000000004,5.442985,1.125,1.625,1.359375,2.984375,6008.0,6979.0,1.0
22,172,0,1,2,0,2,24,416,240,48826,0.55957,1.089844,1.1484379999999998,0.0,0.0,0.313548,0.7539060000000001,1.597656,1.560905,2.8125,0.6875,15.527344,0.964844,4571.0,3197.0,1.0
22,118,0,1,0,6,7,6,416,240,48826,0.25293000000000004,0.0,1.011719,0.0,0.0,0.19192,0.480469,0.925781,0.7163,1.5,0.34375,5.5,0.44433599999999995,1634.0,3021.0,1.0
22,2360,16,0,0,6,12,370,416,240,48826,8.598633,4.027344,4.003906,4.921875,21.441406,55.115883,21.875,34.525391,284.09963999999997,3.5234379999999996,4.34375,32.827576,99.72558599999999,1974.0,23505.0,1.0
22,164,0,1,2,0,2,19,416,240,48826,0.266602,0.0,0.7695310000000001,0.0,0.296875,0.09900199999999999,1.609375,0.9902340000000001,2.709197,1.9375,1.0625,13.183594,1.058594,10800.0,2960.0,1.0
22,729,0,0,1,0,15,126,416,240,48826,1.5498049999999999,0.0,3.5234379999999996,1.75,0.925781,1.6816509999999998,5.133789,5.084961,11.477988,0.515625,1.390625,0.6872560000000001,3.206787,3768.0,11034.0,1.0
22,622,0,0,2,0,4,130,416,240,48826,1.78125,0.0,0.886719,0.6289060000000001,5.609375,4.988869,4.797852,5.036133,16.03418,0.625,1.1875,0.359375,1.6523439999999998,2910.0,9007.0,1.0
22,1481,0,0,1,18,8,324,416,240,48826,4.118164,2.785156,2.550781,7.5390619999999995,3.5976559999999997,4.051768,9.917969,10.580078,32.604202,0.875,0.546875,1.640625,0.716553,17832.0,16540.0,1.0
22,1084,0,0,0,15,12,191,416,240,56170,2.550781,1.035156,3.003906,1.191406,4.972656,2.5539549999999998,7.87207,7.444336,22.223983999999998,3.3515620000000004,3.3359379999999996,15.524841,14.691832999999999,4241.0,3556.0,1.0
22,1904,0,0,0,15,20,369,416,240,56170,5.598633,5.507812,3.21875,7.644531,6.023438,2.509562,14.458984,13.083984,66.37894399999999,1.515625,2.039062,6.515381,11.678162,14117.0,14667.0,1.0
22,1168,0,1,2,9,2,256,416,240,56170,3.329102,2.871094,0.8085939999999999,4.941406,4.695312,2.757197,9.441406,8.458984,46.406341999999995,1.5625,2.984375,3.8085940000000003,13.984131,6421.0,7441.0,1.0
22,1913,0,0,0,6,21,362,416,240,56170,5.463867,5.808594,4.730469,8.140625,3.175781,3.2642700000000002,14.425781,17.695312,68.430336,3.6015620000000004,7.75,22.38031,104.515625,21998.0,21355.0,1.0
22,461,0,0,0,0,20,52,416,240,56170,0.6601560000000001,1.804688,0.625,0.0,0.21093800000000001,0.48719799999999996,2.018555,3.229492,9.138411999999999,3.171875,8.5625,39.579834000000005,149.027344,21876.0,23128.0,1.0
22,694,0,0,1,9,10,136,416,240,56170,1.766602,0.214844,1.9804689999999998,0.4375,4.433594,2.833262,4.650391,5.857422,17.249237,0.71875,4.109375,0.858398,16.816162,18843.0,20433.0,1.0
22,504,0,2,1,3,5,90,416,240,56170,1.693359,0.0,0.65625,1.199219,4.917969,3.6463360000000002,3.007812,4.931641,36.644253000000006,0.953125,2.3125,2.0134279999999998,12.027344,8286.0,8988.0,1.0
22,1509,0,0,0,9,16,320,416,240,56170,4.370117,7.371094,3.3085940000000003,2.082031,4.71875,3.8723940000000003,10.127930000000001,11.819336,50.012428,4.1875,3.328125,14.652344,9.407959,17141.0,17992.0,1.0
22,720,0,0,2,12,7,144,416,240,56170,1.9804689999999998,0.0,4.261719,0.0,3.6601559999999997,3.9674910000000003,5.386719,4.890625,16.941025,1.953125,2.015625,7.857178,8.452881,11080.0,13547.0,1.0
22,682,0,0,0,3,14,131,416,240,56170,1.6435549999999999,3.4375,1.8710939999999998,1.265625,0.0,1.528529,5.083984,5.314453,14.975485999999998,2.25,3.6875,4.03125,14.652344,19068.0,22655.0,0.0
22,42,0,1,3,0,0,0,416,240,56170,0.0,0.0,0.0,0.0,0.0,0.0,0.65625,0.125,0.0,0.875,2.25,1.359375,8.4375,2240.0,3373.0,1.0
22,524,0,1,0,3,9,103,416,240,56170,1.318359,2.089844,0.0,3.183594,0.0,1.8876080000000002,4.048828,3.890625,9.595913000000001,0.382812,3.28125,0.486267,9.342773,8328.0,9417.0,1.0
22,1580,0,1,2,6,3,342,416,240,56170,5.161133,5.800781,5.878906,4.535156,4.429688,0.46280200000000005,13.394531,14.638672,37.459389,0.53125,2.59375,0.624023,8.209961,13422.0,14719.0,1.0
22,1536,0,1,0,3,11,354,416,240,56170,4.501953,3.3945309999999997,6.210938,5.035156,3.3671879999999996,1.4297520000000001,10.991211,11.524414,33.972652000000004,1.6875,2.84375,2.964844,8.319336,19906.0,16055.0,1.0
22,1077,0,1,2,6,2,198,416,240,56170,3.6816410000000004,7.589844,3.3203120000000004,3.6054690000000003,0.21093800000000001,6.8640479999999995,8.618164,12.350586,146.459198,3.90625,1.9375,15.397460999999998,3.9335940000000003,14618.0,15707.0,1.0
22,1057,0,0,0,18,14,187,416,240,56170,2.9384770000000002,2.027344,0.0,3.53125,6.195312,5.105792,9.802734,11.099609,49.792114,2.617188,1.9375,8.486267,4.792969,5424.0,5419.0,1.0
22,420,0,0,1,9,15,52,416,240,56170,0.567383,0.238281,2.03125,0.0,0.0,0.723765,2.604492,2.040039,4.794288,2.15625,2.515625,8.850586,42.187256,8194.0,8533.0,1.0
22,511,0,1,2,3,5,105,416,240,56170,1.568359,0.0,0.0,2.007812,4.265625,3.096966,4.042969,5.484375,17.270718,0.953125,1.96875,1.294678,4.530273,7281.0,8823.0,1.0
22,987,0,0,0,12,10,201,416,240,56170,2.90332,3.546875,3.269531,1.230469,3.5664059999999997,0.9465969999999999,7.389647999999999,9.817383,19.886162,0.21875,2.4375,0.170898,4.027344,9248.0,9854.0,1.0
22,496,0,0,0,27,9,85,416,240,56170,1.178711,0.441406,1.441406,2.027344,0.804688,0.368175,4.475586,5.477539,8.304976,0.5625,1.421875,0.7460939999999999,3.993896,12426.0,13763.0,1.0
22,410,0,1,0,12,9,71,416,240,56170,0.8496090000000001,0.0,0.265625,2.089844,1.042969,0.659611,2.888672,3.185547,7.801601,0.757812,0.992188,1.7616580000000002,3.210876,5431.0,7977.0,1.0
22,78,0,0,2,0,4,4,416,240,56170,0.042969,0.0,0.171875,0.0,0.0,0.005539,0.126953,0.138672,0.312607,3.8125,1.0625,14.652344,1.183594,2669.0,4537.0,1.0
22,31,0,0,3,0,2,0,416,240,56170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,1.375,7.859375,1.734375,2121.0,2751.0,1.0
22,3385,16,0,0,6,8,597,416,240,56170,15.789062,16.605469,21.101562,18.4375,7.011719,28.236297999999998,36.641602,47.411133,387.07659900000004,12.390625,11.367188,4039.6911619999996,3907.044922,3016.0,30569.0,1.0
22,99,0,2,1,6,4,5,416,240,56170,0.056641,0.0,0.22656199999999999,0.0,0.0,0.009623999999999999,1.4345700000000001,0.37206999999999996,0.387417,1.28125,0.953125,4.295898,2.4196779999999998,6739.0,2108.0,1.0
22,514,0,0,1,9,9,70,416,240,56170,1.011719,0.0,1.7304689999999998,0.40625,1.9101560000000002,0.6784899999999999,3.9121089999999996,3.244141,7.201035000000001,1.234375,1.2265620000000002,2.804443,1.893982,2042.0,8159.0,1.0
22,524,0,0,2,0,4,102,416,240,56170,1.733398,0.0,0.835938,0.0,6.097656,6.465381,4.657227,5.456055,20.705292,1.0625,1.75,0.5585939999999999,1.3125,2647.0,8035.0,1.0
22,1641,0,1,1,0,4,351,416,240,56170,4.670898,3.4570309999999997,2.722656,8.160156,4.34375,4.387767,10.616211,13.020508,71.644623,2.5,1.6875,2.25,1.214844,17627.0,19363.0,1.0
22,1101,0,0,1,0,10,212,416,240,71334,2.810547,0.945312,3.2851559999999997,1.328125,5.683594,3.539082,8.65625,7.630859,24.598873,4.640625,5.15625,19.230225,17.756836,6744.0,4443.0,1.0
22,1878,0,0,0,6,14,339,416,240,71334,5.041016,5.1875,3.132812,8.023438,3.8203120000000004,3.511913,14.382812,12.382812,71.992462,4.4375,5.398438,12.496094,18.708435,17729.0,17605.0,1.0
